MPG,CYL,ENG,WGT
8.0,4,459.4317065730329,4774
23.66925231906114,4,255.8383834301301,2460
20.60581410288271,6,262.9953358595872,2894
20.300102685254892,4,309.62917531708706,2730
20.843404188376518,6,293.08880241442574,2695
8.0,4,459.81648695790597,4692
15.95480310617358,6,289.5373094181825,3238
8.0,8,403.9774474833083,3769
28.247776283517787,4,204.30920309494766,2066
17.95955906235276,4,308.55632623946923,2838
30.907585333185118,4,161.11144682411265,1930
14.143877871313153,4,296.21249954092457,3082
8.0,6,373.6048739943637,3735
8.0,4,478.03961187529484,4771
8.0,8,442.89869057041517,4519
31.71015146239775,8,185.45699864694998,1730
14.989257181643517,4,307.1475914123481,3285
8.0,8,495.1524102995741,4980
25.697271980240096,4,239.30591263423798,2369
8.0,4,409.388776681175,3991
15.215626675793075,8,325.7322975617778,3115
8.0,4,422.8071581632426,4453
8.0,8,372.61771658528755,4033
17.138978931164207,6,307.0535364379702,2815
22.006953531287838,4,262.1462802395918,2555
8.0,6,377.430269268869,3924
20.336360275624518,8,309.4230395104505,2784
25.446110761268134,6,208.21349268585718,2059
8.0,6,522.0859436812765,4985
31.222019402041543,8,163.4503696282022,1621
8.0,6,431.2149584976397,3900
22.82076871057994,6,269.8068168488641,2347
8.0,8,445.4207170304186,4504
23.2433083029717,6,226.83141901908712,2074
20.38672458215337,8,281.10751899170293,2682
8.0,6,443.17263115064696,4158
11.012491439130947,8,345.40153078839796,3647
8.0,8,448.4210291999688,4347
19.581998612949665,6,278.6684897369918,2575
17.111434366794274,6,305.4252102715377,3406
36.10205475990427,6,155.2348297466845,1789
8.0,4,419.715356444798,4605
8.0,4,428.01186331110887,4334
8.0,4,474.85084511591924,4605
27.874787239365393,8,246.24714104192057,2162
10.391185165273685,6,351.38189560839555,3499
15.994010820236994,8,319.27231091142585,2867
8.0,4,420.2979708357022,4479
14.606481417286597,6,278.7323512128969,3128
8.0,8,479.0890460220677,4802
22.90165301755656,6,232.28130897878617,2246
8.149099617885835,8,366.14610503811815,3668
8.0,6,407.45115799920245,4488
8.60354950458583,4,379.61759920974424,3814
22.538470486133,4,263.6106099899029,2897
8.0,6,416.8934509766008,4035
27.402046550856316,8,227.33196492193696,2200
8.0,4,377.5024042734529,3963
10.143939498031825,4,355.82266165326615,3661
32.157852506222156,4,162.915729562221,1841
8.0,6,362.84641805453657,3641
8.0,6,461.5028464100248,4424
8.0,8,401.4854790732892,4212
8.0,8,464.5809303103569,4545
18.515594906188078,8,285.6948476325512,2963
14.574473112084132,6,358.04254335475315,3739
15.941550391451928,6,296.85939280090884,2990
8.0,8,439.59515355161255,4603
15.449368252497653,8,296.7270138930564,3078
8.0,6,391.64244214822304,4156
20.635500612470572,8,276.7945026583278,2375
34.368769510243375,4,164.10527103943457,1634
11.157734003972292,6,371.3054898401483,3853
8.0,8,479.4795982146845,4752
9.34261690348237,6,353.2534390061834,3555
16.12880071230603,4,314.08060800933555,3185
8.0,6,479.5833340008685,4673
21.67735592546372,6,277.2501542009461,2621
8.0,6,410.68997704778945,4213
17.525330010650215,6,261.38363518710645,2729
19.270062099811767,4,304.4989660569671,3100
30.57167651092663,6,184.16157670528833,2302
8.0,6,374.59617875602896,4049
8.0,8,465.0374853488905,4377
13.957763067948521,6,350.79935427002573,3179
31.546949619530423,8,171.11927920887246,1761
30.929531582289897,4,191.63113926111535,1801
14.318158922989161,4,364.3250030908707,3581
18.022224736556662,4,321.0776161691048,2595
8.0,4,414.0914982286916,3917
20.804279135451708,8,238.94164817038467,2415
8.0,6,475.08919118799156,4942
28.935192374509977,4,173.37107359484855,2055
21.760652091168353,6,291.56927271734446,2875
20.94512814721196,8,246.47298509431397,2616
8.496829612875468,8,365.8549258080465,3943
8.0,8,423.7685423151495,4367
32.15133455051056,4,172.0690399277121,1937
26.108723216674676,6,281.5428327014513,2478
18.620622697209907,6,285.23279513898905,2676
22.728093756280167,6,238.94054717366768,2391
8.104377615248117,8,415.99888277780053,3864
25.293414671605003,4,237.8473661529524,2363
12.36969885280033,8,366.27431597343474,3835
27.875732293382267,8,228.36248154539317,1979
25.73050577474122,6,219.9782008736932,2092
8.0,8,450.4550769134709,4712
21.827745839249424,6,274.1932264383278,2780
12.234582615779482,4,348.6876349323049,3662
34.09334779317893,6,138.74400538071328,1664
8.0,4,435.32355095063286,4168
17.792174540421215,6,334.8883328094026,2967
23.890885555894194,8,247.22864852361715,2752
